"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","WKGPOP","TOT","PC_POP","A","2000",66.8523430954823,
"AUS","WKGPOP","TOT","PC_POP","A","2001",66.9032323769899,
"AUS","WKGPOP","TOT","PC_POP","A","2002",67.0161285772249,
"AUS","WKGPOP","TOT","PC_POP","A","2003",67.1361369506626,
"AUS","WKGPOP","TOT","PC_POP","A","2004",67.2243409605572,
"AUS","WKGPOP","TOT","PC_POP","A","2005",67.3126778400031,
"AUS","WKGPOP","TOT","PC_POP","A","2006",67.4027574052003,
"AUS","WKGPOP","TOT","PC_POP","A","2007",67.4304104424403,
"AUS","WKGPOP","TOT","PC_POP","A","2008",67.4996549281693,
"AUS","WKGPOP","TOT","PC_POP","A","2009",67.5054455278258,
"AUS","WKGPOP","TOT","PC_POP","A","2010",67.3862811624133,
"AUS","WKGPOP","TOT","PC_POP","A","2011",67.2268749576993,
"AUS","WKGPOP","TOT","PC_POP","A","2012",66.9304833205145,
"AUS","WKGPOP","TOT","PC_POP","A","2013",66.6713031564291,
"AUS","WKGPOP","TOT","PC_POP","A","2014",66.4253900823175,
"AUS","WKGPOP","TOT","PC_POP","A","2015",66.1831428835957,
"AUS","WKGPOP","TOT","PC_POP","A","2016",65.9175739049387,
"AUS","WKGPOP","TOT","PC_POP","A","2017",65.7345013750993,
"AUT","WKGPOP","TOT","PC_POP","A","2000",67.5306176095909,
"AUT","WKGPOP","TOT","PC_POP","A","2001",67.7194800040237,
"AUT","WKGPOP","TOT","PC_POP","A","2002",67.9192998966484,
"AUT","WKGPOP","TOT","PC_POP","A","2003",68.1230118085867,
"AUT","WKGPOP","TOT","PC_POP","A","2004",68.0552439267264,
"AUT","WKGPOP","TOT","PC_POP","A","2005",67.756019918111,
"AUT","WKGPOP","TOT","PC_POP","A","2006",67.5613828243719,
"AUT","WKGPOP","TOT","PC_POP","A","2007",67.4661662320171,
"AUT","WKGPOP","TOT","PC_POP","A","2008",67.4856375760211,
"AUT","WKGPOP","TOT","PC_POP","A","2009",67.4569857662001,
